start,end,block,first_version,status
43392,43487,Javanese,5.2.0,active
43488,43519,"Myanmar Extended-B",7.0.0,active
43520,43615,Cham,5.1.0,active
43616,43647,"Myanmar Extended-A",5.2.0,active
43648,43743,"Tai Viet",5.2.0,active
43744,43775,"Meetei Mayek Extensions",6.1.0,active
43776,43823,"Ethiopic Extended-A",6.0.0,active
43824,43887,"Latin Extended-E",7.0.0,active
43888,43967,"Cherokee Supplement",8.0.0,active
43968,44031,"Meetei Mayek",5.2.0,active
44032,55215,"Hangul Syllables",2.0.0,active
55216,55295,"Hangul Jamo Extended-B",5.2.0,active
55296,56191,"High Surrogates",2.0.0,active
56192,56319,"High Private Use Surrogates",2.0.0,active
56320,57343,"Low Surrogates",2.0.0,active
57344,63743,"Private Use Area",2.0.0,active
63744,64255,"CJK Compatibility Ideographs",2.0.0,active
64256,64335,"Alphabetic Presentation Forms",2.0.0,active
64336,65023,"Arabic Presentation Forms-A",2.0.0,active
65024,65039,"Variation Selectors",3.2.0,active
65040,65055,"Vertical Forms",4.1.0,active
65056,65071,"Combining Half Marks",2.0.0,active
65072,65103,"CJK Compatibility Forms",2.0.0,active
65104,65135,"Small Form Variants",2.0.0,active
65136,65279,"Arabic Presentation Forms-B",2.0.0,active
65280,65519,"Halfwidth and Fullwidth Forms",2.0.0,active
65520,65535,Specials,2.0.0,active
65536,65663,"Linear B Syllabary",4.0.0,active
65664,65791,"Linear B Ideograms",4.0.0,active
65792,65855,"Aegean Numbers",4.0.0,active
65856,65935,"Ancient Greek Numbers",4.1.0,active
65936,65999,"Ancient Symbols",5.1.0,active
66000,66047,"Phaistos Disc",5.1.0,active
66176,66207,Lycian,5.1.0,active
66208,66271,Carian,5.1.0,active
66272,66303,"Coptic Epact Numbers",7.0.0,active
66304,66351,"Old Italic",3.1.0,active
66352,66383,Gothic,3.1.0,active
66384,66431,"Old Permic",7.0.0,active
66432,66463,Ugaritic,4.0.0,active
66464,66527,"Old Persian",4.1.0,active
66560,66639,Deseret,3.1.0,active
66640,66687,Shavian,4.0.0,active
66688,66735,Osmanya,4.0.0,active
66736,66815,Osage,9.0.0,active
66816,66863,Elbasan,7.0.0,active
66864,66927,"Caucasian Albanian",7.0.0,active
66928,67007,Vithkuqi,14.0.0,active
67072,67455,"Linear A",7.0.0,active
67456,67519,"Latin Extended-F",14.0.0,active
67584,67647,"Cypriot Syllabary",4.0.0,active
67648,67679,"Imperial Aramaic",5.2.0,active
67680,67711,Palmyrene,7.0.0,active
67712,67759,Nabataean,7.0.0,active
67808,67839,Hatran,8.0.0,active
67840,67871,Phoenician,5.0.0,active
67872,67903,Lydian,5.1.0,active
67968,67999,"Meroitic Hieroglyphs",6.1.0,active
68000,68095,"Meroitic Cursive",6.1.0,active
68096,68191,Kharoshthi,4.1.0,active
68192,68223,"Old South Arabian",5.2.0,active
68224,68255,"Old North Arabian",7.0.0,active
68288,68351,Manichaean,7.0.0,active
68352,68415,Avestan,5.2.0,active
68416,68447,"Inscriptional Parthian",5.2.0,active
68448,68479,"Inscriptional Pahlavi",5.2.0,active
68480,68527,"Psalter Pahlavi",7.0.0,active
68608,68687,"Old Turkic",5.2.0,active
68736,68863,"Old Hungarian",8.0.0,active
68864,68927,"Hanifi Rohingya",11.0.0,active
69216,69247,"Rumi Numeral Symbols",5.2.0,active
69248,69311,Yezidi,13.0.0,active
69376,69423,"Old Sogdian",11.0.0,active
69424,69487,Sogdian,11.0.0,active
69488,69551,"Old Uyghur",14.0.0,active
69552,69599,Chorasmian,13.0.0,active
69600,69631,Elymaic,12.0.0,active
69632,69759,Brahmi,6.0.0,active
69760,69839,Kaithi,5.2.0,active
69840,69887,"Sora Sompeng",6.1.0,active
69888,69967,Chakma,6.1.0,active
69968,70015,Mahajani,7.0.0,active
70016,70111,Sharada,6.1.0,active
70112,70143,"Sinhala Archaic Numbers",7.0.0,active
70144,70223,Khojki,7.0.0,active
70272,70319,Multani,8.0.0,active
70320,70399,Khudawadi,7.0.0,active
70400,70527,Grantha,7.0.0,active
70656,70783,Newa,9.0.0,active
70784,70879,Tirhuta,7.0.0,active
71040,71167,Siddham,7.0.0,active
71168,71263,Modi,7.0.0,active
71264,71295,"Mongolian Supplement",9.0.0,active
71296,71375,Takri,6.1.0,active
71424,71503,Ahom,8.0.0,active
71680,71759,Dogra,11.0.0,active
71840,71935,"Warang Citi",7.0.0,active
71936,72031,"Dives Akuru",13.0.0,active
72096,72191,Nandinagari,12.0.0,active
72192,72271,"Zanabazar Square",10.0.0,active
72272,72367,Soyombo,10.0.0,active
72368,72383,"Unified Canadian Aboriginal Syllabics Extended-A",14.0.0,active
